GEOID,Males (1-3),Males (4-8),Males (9-13),Males (14-18),Males (19-30),Males (31-50),Males (51-70),Males (71+),Females (1-3),Females (4-8),Females (9-13),Females (14-18),Females (19-30),Females (31-50),Females (50-70),Females (71+)
250251008001,18,16,17,13,53,105,75,13,24,17,17,17,56,104,94,24
250251008002,25,27,26,20,73,149,96,32,38,34,28,19,61,132,119,50
250251008003,27,26,20,17,76,145,94,21,26,19,28,15,94,147,107,37
250251008004,38,16,21,15,66,180,134,51,23,21,21,13,78,185,156,99
250251008005,9,24,25,12,46,112,120,45,22,15,14,14,28,114,126,81
250251008006,32,23,32,22,112,191,122,16,33,24,34,20,121,172,135,42
250251009001,31,20,19,17,53,107,81,21,29,20,31,22,64,130,86,30
250251009002,23,24,21,15,55,90,57,8,18,12,15,12,44,97,62,16
250251009003,35,31,44,31,93,199,123,28,31,32,33,25,129,230,181,50
250251009004,22,10,14,6,42,72,69,11,9,7,15,5,53,72,88,20
250251009005,28,19,31,18,86,106,111,16,22,22,33,28,78,130,154,50
250251010011,11,22,24,29,59,79,84,32,12,20,19,13,48,106,109,54
250251010012,25,23,19,12,44,100,69,27,29,14,19,14,69,124,112,33
250251010013,19,26,21,18,57,87,76,29,21,31,22,17,63,108,98,52
250251010014,23,18,28,25,99,116,105,24,24,19,39,29,73,147,131,52
250251010015,43,52,41,19,75,95,129,18,66,25,40,18,101,190,156,31
250251010016,31,25,40,25,113,147,134,46,39,22,28,24,99,181,186,90
250251010021,26,28,44,26,69,90,63,15,29,29,23,36,63,139,91,31
250251010022,64,78,77,47,166,233,228,73,61,53,79,53,203,342,352,152
250251010023,71,59,52,49,121,229,188,79,65,64,48,32,171,302,283,103
250251011011,26,33,36,30,66,82,69,15,28,40,30,15,83,110,87,25
250251011012,35,39,37,27,85,105,69,25,24,32,38,26,80,142,99,41
250251011013,41,72,59,33,137,166,130,40,54,49,57,40,133,204,171,90
250251011021,34,24,36,26,79,104,68,18,32,29,31,24,98,125,89,32
250251011022,52,55,61,41,135,160,133,36,49,62,64,52,161,239,142,52
250251011023,23,27,22,16,68,78,63,22,22,13,29,18,57,119,107,28
250251011024,48,53,59,28,109,163,115,36,44,58,62,39,120,189,153,65
250251101031,7,5,7,3,47,103,58,30,5,7,7,5,63,104,71,46
250251101032,31,15,32,10,89,91,74,16,16,21,15,22,98,113,75,15
250251101033,23,23,37,24,78,70,46,8,25,19,23,29,79,112,54,3
250251101034,20,14,18,16,84,65,43,22,13,14,9,7,66,99,80,50
250251101035,34,18,16,18,172,265,103,23,32,17,17,12,262,284,134,33
250251101036,20,14,8,10,31,102,59,15,25,13,8,4,47,133,69,25
250251101037,38,50,47,34,80,90,39,7,30,42,44,30,83,164,71,14
250251102011,80,61,65,41,175,260,200,61,72,73,65,35,203,302,284,74
250251103011,36,43,49,20,88,152,109,23,33,42,40,31,99,192,136,41
250251103012,37,42,29,23,105,167,149,33,38,42,37,18,85,225,189,52
250251104011,85,66,70,55,221,227,155,32,68,81,74,47,197,339,234,60
250251104012,53,44,52,34,106,252,151,60,39,38,38,24,109,284,194,77
250251104031,23,24,27,15,63,115,112,35,33,27,16,19,74,133,130,59
250251104032,28,11,19,20,53,104,92,27,21,25,29,25,55,129,112,33
250251104033,23,14,26,10,45,91,77,19,20,16,17,14,46,121,92,26
250251104034,35,25,29,19,57,147,93,34,31,27,18,21,77,186,117,59
250251104035,25,21,30,19,73,131,114,28,27,26,35,22,82,165,134,57
250251105011,28,14,36,5,60,142,89,34,38,21,26,16,52,154,87,47
250251105012,61,36,40,34,102,208,167,56,44,35,42,27,101,251,190,104
250251105013,27,23,27,19,72,147,91,29,34,20,22,10,79,168,97,41
250251105021,39,42,36,20,101,220,132,27,46,37,36,18,115,263,141,38
250251105022,54,52,44,37,164,261,203,61,50,46,54,37,142,313,205,132
250251105023,25,9,14,13,57,91,81,28,20,7,20,6,48,112,74,35
250251106011,45,41,50,32,63,171,201,190,33,29,33,13,63,214,260,477
250251106012,36,38,31,15,53,153,133,49,43,42,26,13,56,161,141,64
250251106071,33,16,19,9,72,161,105,42,28,24,16,10,78,183,129,88
250251106072,53,28,46,21,101,233,163,56,39,43,37,22,116,272,203,96
250251106073,60,47,47,17,114,255,175,44,51,32,26,17,134,295,206,66
250251106074,26,14,8,8,35,91,70,114,21,10,11,3,36,117,76,309
250251201031,60,24,31,16,93,240,189,43,58,33,35,14,104,280,233,55
250251201041,17,5,5,4,57,93,50,8,17,7,7,9,68,113,43,13
250251201042,31,34,26,11,61,111,41,5,32,23,25,21,100,171,91,16
250251201043,18,6,3,4,70,145,75,12,20,10,7,7,126,167,86,24
250251201051,21,40,43,4,22,78,120,23,17,32,29,7,140,97,150,53
250251201052,17,23,15,12,29,102,145,71,15,14,20,6,37,116,182,129
250251201053,22,18,11,8,15,66,97,60,20,10,18,5,18,72,138,57
250251202011,23,6,10,4,152,188,81,25,23,9,5,4,219,224,98,76
250251202012,53,43,28,28,194,328,176,15,82,48,41,24,241,346,166,28
250251202013,17,9,7,3,53,90,37,7,17,6,4,9,60,86,37,9
250251203011,30,30,25,21,158,187,117,19,34,24,33,17,160,150,129,32
250251203012,45,31,32,20,92,106,56,12,30,22,25,20,124,141,77,22
250251203013,50,30,29,14,165,257,164,49,54,39,29,19,170,252,178,44
250251203014,21,23,19,11,140,238,110,11,23,21,29,12,179,249,117,28
250251204001,28,10,12,5,74,177,84,17,19,10,13,4,124,165,100,14
250251204002,20,9,4,7,48,128,80,7,22,10,9,6,72,149,86,19
250251204003,29,11,15,5,70,185,89,16,27,14,6,2,96,199,108,23
250251204004,40,29,13,27,182,341,185,31,52,25,31,19,263,345,231,48
250251204005,34,13,15,14,134,190,161,92,27,19,15,3,186,202,199,158
250251205001,29,22,18,15,86,122,73,28,22,16,18,11,110,135,80,39
250251205002,20,11,19,9,108,133,39,7,25,13,16,13,145,113,51,11
250251205003,16,13,10,15,115,112,65,14,27,23,24,16,110,121,76,17
250251206001,20,9,19,8,115,140,70,8,21,10,15,7,179,156,66,22
250251206002,25,6,3,1,88,140,45,5,27,5,3,0,125,184,53,14
250251206003,21,14,7,9,90,134,60,9,22,8,7,1,110,164,74,16
250251207001,25,9,7,11,175,173,72,13,24,12,12,12,174,168,57,18
250251207002,28,8,8,6,94,184,108,58,28,6,5,6,125,168,132,88
250251301001,36,28,18,14,52,147,126,52,40,30,31,13,54,159,158,73
250251301002,81,29,24,12,150,291,153,47,63,24,18,5,176,330,214,58
250251301003,15,11,13,5,25,66,75,26,14,12,11,5,30,85,84,43
250251301004,29,16,31,9,41,114,107,36,28,27,13,9,36,113,139,62
250251301005,24,21,17,6,35,95,68,30,23,24,6,6,24,104,101,71
250251301006,8,8,8,2,11,51,44,35,13,8,8,3,17,47,50,60
250251301007,26,20,21,17,53,125,104,38,26,28,19,11,55,130,127,42
250251302001,25,19,16,9,32,75,63,30,14,12,21,10,30,81,96,57
250251302002,33,14,16,9,63,148,96,55,29,15,21,12,54,126,113,76
250251302003,43,37,34,28,84,172,199,58,45,39,30,22,81,199,234,93
250251302004,24,13,12,14,37,87,115,17,22,10,14,21,46,92,134,46
250251302005,27,32,37,12,48,138,105,47,31,22,17,23,63,150,125,57
250251303001,28,33,31,12,33,114,105,48,29,37,16,13,31,125,128,65
250251303002,32,33,36,25,59,152,156,36,21,34,36,27,67,171,171,69
250251303003,31,36,27,18,27,90,110,34,33,20,30,16,40,119,113,57
250251303004,26,29,28,19,57,144,107,43,34,26,22,14,56,171,122,85
250251303005,21,14,20,14,45,96,89,21,20,12,20,9,36,93,112,40
250251304021,19,20,24,14,66,160,116,74,28,26,21,15,56,167,167,107
250251304022,25,21,14,8,38,144,104,36,23,17,15,10,63,115,83,65
250251304023,40,28,26,19,64,150,113,57,37,19,29,19,61,166,135,95
250251304024,20,19,30,17,52,133,111,59,23,19,26,16,49,131,121,77
250251304025,32,28,20,10,47,114,91,30,19,29,21,14,48,147,101,64
250251304041,44,31,44,29,105,192,220,123,45,32,34,33,131,233,262,334
250251304042,10,12,16,8,48,106,78,26,15,13,17,11,45,92,111,40
250251304043,17,12,6,10,17,57,40,13,14,13,7,3,29,58,45,20
250251304061,185,126,,47,133,199,89,31,164,130,95,48,261,385,158,79
250251304062,109,80,63,32,128,291,236,115,92,88,61,34,175,367,259,181
250251304063,19,10,9,15,44,82,84,24,7,11,11,8,49,84,79,37
250251401021,36,54,46,44,95,143,131,31,33,42,50,23,106,194,116,42
250251401022,32,19,29,26,67,124,101,36,26,24,27,18,80,136,109,54
250251401023,26,27,27,16,64,128,97,38,29,31,35,13,40,139,101,49
250251401024,39,49,68,43,129,168,159,46,55,42,61,38,95,212,166,77
250251401051,71,66,85,58,175,318,258,86,50,61,71,50,174,373,328,135
250251401052,44,38,48,35,148,147,118,19,41,45,52,41,159,198,136,47
250251401061,66,67,54,26,101,135,119,44,48,44,45,26,130,227,165,98
250251401062,17,35,26,12,50,44,29,7,23,18,19,15,50,86,57,18
250251401071,50,63,71,48,160,212,200,72,46,49,64,29,137,270,240,121
250251401072,16,21,23,10,61,108,62,25,20,16,17,9,62,106,115,28
250251402011,42,34,30,23,99,157,117,36,28,28,34,16,95,169,128,53
250251402012,32,36,28,22,66,142,104,31,29,37,26,24,83,146,127,50
250251402021,40,32,27,27,72,121,88,23,26,28,27,20,84,148,110,43
250251402022,62,71,60,35,108,158,103,33,53,76,64,44,100,253,168,68
250251402023,30,21,37,13,91,121,134,33,27,31,19,18,70,139,158,45
250251402024,40,40,44,27,105,211,198,65,41,46,38,34,101,235,187,109
250251402025,28,18,29,16,49,85,108,26,14,26,28,14,26,97,108,48
250251403001,23,35,34,18,75,129,114,15,32,29,28,19,93,135,109,27
250251403002,24,26,30,29,93,104,90,16,20,30,39,21,82,128,95,35
250251403003,37,18,47,23,136,163,152,92,31,17,48,26,83,196,172,182
250251403004,21,17,25,18,64,78,106,16,11,17,27,11,65,87,111,31
250251403005,32,35,45,19,79,155,98,50,31,45,39,30,68,178,146,84
250251403006,52,55,38,41,115,163,137,33,51,45,47,33,117,203,170,43
250251404001,20,14,21,16,57,75,52,31,21,16,22,17,70,87,81,54
250251404002,21,31,29,19,89,114,125,28,25,23,31,25,91,145,159,48
250251404003,34,41,35,25,88,132,114,28,33,24,35,28,106,138,153,35
250251404004,14,24,33,23,89,76,87,20,15,22,29,23,52,96,118,34
250251404005,33,42,40,35,120,148,190,34,44,33,46,33,109,200,222,70
250251404006,44,51,58,49,106,200,153,72,45,49,55,26,128,237,222,123
250251404007,48,24,45,28,97,162,119,29,44,32,27,25,95,194,145,58
250259801011,4,0,1,0,53,213,152,4,0,0,0,0,29,60,19,0
250259803001,0,1,0,0,37,102,111,7,1,0,2,0,13,34,28,2
250259807001,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1
250259810001,2,1,2,0,5,2,1,0,0,1,1,1,3,2,1,0
250259811001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250259811002,0,0,2,1,2,1,1,0,0,0,1,0,0,2,1,1
250259811003,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,0
250259811004,9,9,9,27,45,140,38,0,5,19,6,5,24,40,22,2
250259812011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250259812021,0,0,0,0,155,44,0,0,0,0,0,0,6,2,0,0
250259813002,10,5,3,1,49,130,30,5,8,2,5,2,50,68,20,1
250259815011,0,0,0,0,0,5,3,0,0,0,0,0,0,4,0,0
250259815021,0,0,1,0,1,0,2,1,0,0,0,0,1,1,1,1
250259816001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250259817001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250259818001,3,0,1,1,1,3,9,15,1,0,1,0,4,7,25,11
250251006013,43,30,47,33,74,209,110,24,46,29,38,29,121,217,131,37
250251006014,53,74,47,30,188,341,173,31,60,59,51,50,209,303,222,53
250251006031,34,38,41,17,117,233,98,53,41,39,31,16,113,192,107,136
250251006032,18,25,11,11,64,106,59,13,20,13,14,2,60,89,66,27
250251007001,32,36,36,17,88,201,85,29,41,27,28,17,85,183,95,50
250251007002,34,26,25,9,54,145,96,61,34,18,14,10,55,133,124,189
250251007003,21,24,28,12,39,109,71,27,16,11,11,14,41,123,79,46
250251007004,30,24,25,17,85,149,69,32,23,21,29,13,82,129,90,38
250251007005,27,21,16,9,61,122,75,25,28,28,17,5,58,103,84,38
250251008001,18,16,17,13,53,105,75,13,24,17,17,17,56,104,94,24
250251008002,25,27,26,20,73,149,96,32,38,34,28,19,61,132,119,50
250251008003,27,26,20,17,76,145,94,21,26,19,28,15,94,147,107,37
250251008004,38,16,21,15,66,180,134,51,23,21,21,13,78,185,156,99
250251008005,9,24,25,12,46,112,120,45,22,15,14,14,28,114,126,81
250251008006,32,23,32,22,112,191,122,16,33,24,34,20,121,172,135,42
250251009001,31,20,19,17,53,107,81,21,29,20,31,22,64,130,86,30
250251009002,23,24,21,15,55,90,57,8,18,12,15,12,44,97,62,16
250251009003,35,31,44,31,93,199,123,28,31,32,33,25,129,230,181,50
250251009004,22,10,14,6,42,72,69,11,9,7,15,5,53,72,88,20
250251009005,28,19,31,18,86,106,111,16,22,22,33,28,78,130,154,50
250251010011,11,22,24,29,59,79,84,32,12,20,19,13,48,106,109,54
250251010012,25,23,19,12,44,100,69,27,29,14,19,14,69,124,112,33
250251010013,19,26,21,18,57,87,76,29,21,31,22,17,63,108,98,52
250251010014,23,18,28,25,99,116,105,24,24,19,39,29,73,147,131,52
250251010015,43,52,41,19,75,95,129,18,66,25,40,18,101,190,156,31
250251010016,31,25,40,25,113,147,134,46,39,22,28,24,99,181,186,90
250251010021,26,28,44,26,69,90,63,15,29,29,23,36,63,139,91,31
250251010022,64,78,77,47,166,233,228,73,61,53,79,53,203,342,352,152
250251010023,71,59,52,49,121,229,188,79,65,64,48,32,171,302,283,103
250251011011,26,33,36,30,66,82,69,15,28,40,30,15,83,110,87,25
250251011012,35,39,37,27,85,105,69,25,24,32,38,26,80,142,99,41
250251011013,41,72,59,33,137,166,130,40,54,49,57,40,133,204,171,90
250251011021,34,24,36,26,79,104,68,18,32,29,31,24,98,125,89,32
250251011022,52,55,61,41,135,160,133,36,49,62,64,52,161,239,142,52
250251011023,23,27,22,16,68,78,63,22,22,13,29,18,57,119,107,28
250251011024,48,53,59,28,109,163,115,36,44,58,62,39,120,189,153,65
250251101031,7,5,7,3,47,103,58,30,5,7,7,5,63,104,71,46
250251101032,31,15,32,10,89,91,74,16,16,21,15,22,98,113,75,15
250251101033,23,23,37,24,78,70,46,8,25,19,23,29,79,112,54,3
250251101034,20,14,18,16,84,65,43,22,13,14,9,7,66,99,80,50
250251101035,34,18,16,18,172,265,103,23,32,17,17,12,262,284,134,33
250251101036,20,14,8,10,31,102,59,15,25,13,8,4,47,133,69,25
250251101037,38,50,47,34,80,90,39,7,30,42,44,30,83,164,71,14
250251102011,80,61,65,41,175,260,200,61,72,73,65,35,203,302,284,74
250251103011,36,43,49,20,88,152,109,23,33,42,40,31,99,192,136,41
250251103012,37,42,29,23,105,167,149,33,38,42,37,18,85,225,189,52
250251104011,85,66,70,55,221,227,155,32,68,81,74,47,197,339,234,60
250251104012,53,44,52,34,106,252,151,60,39,38,38,24,109,284,194,77
250251104031,23,24,27,15,63,115,112,35,33,27,16,19,74,133,130,59
250251104032,28,11,19,20,53,104,92,27,21,25,29,25,55,129,112,33
250251104033,23,14,26,10,45,91,77,19,20,16,17,14,46,121,92,26
250251104034,35,25,29,19,57,147,93,34,31,27,18,21,77,186,117,59
250251104035,25,21,30,19,73,131,114,28,27,26,35,22,82,165,134,57
250251105011,28,14,36,5,60,142,89,34,38,21,26,16,52,154,87,47
250251105012,61,36,40,34,102,208,167,56,44,35,42,27,101,251,190,104
250251105013,27,23,27,19,72,147,91,29,34,20,22,10,79,168,97,41
250251105021,39,42,36,20,101,220,132,27,46,37,36,18,115,263,141,38
250251105022,54,52,44,37,164,261,203,61,50,46,54,37,142,313,205,132
250251105023,25,9,14,13,57,91,81,28,20,7,20,6,48,112,74,35
250251106011,45,41,50,32,63,171,201,190,33,29,33,13,63,214,260,477
250251106012,36,38,31,15,53,153,133,49,43,42,26,13,56,161,141,64
250251106071,33,16,19,9,72,161,105,42,28,24,16,10,78,183,129,88
250251106072,53,28,46,21,101,233,163,56,39,43,37,22,116,272,203,96
250251106073,60,47,47,17,114,255,175,44,51,32,26,17,134,295,206,66
250251106074,26,14,8,8,35,91,70,114,21,10,11,3,36,117,76,309
250251201031,60,24,31,16,93,240,189,43,58,33,35,14,104,280,233,55
250251201041,17,5,5,4,57,93,50,8,17,7,7,9,68,113,43,13
250251201042,31,34,26,11,61,111,41,5,32,23,25,21,100,171,91,16
250251201043,18,6,3,4,70,145,75,12,20,10,7,7,126,167,86,24
250251201051,21,40,43,4,22,78,120,23,17,32,29,7,140,97,150,53
250251201052,17,23,15,12,29,102,145,71,15,14,20,6,37,116,182,129
250251201053,22,18,11,8,15,66,97,60,20,10,18,5,18,72,138,57
250251202011,23,6,10,4,152,188,81,25,23,9,5,4,219,224,98,76
250251202012,53,43,28,28,194,328,176,15,82,48,41,24,241,346,166,28
250251202013,17,9,7,3,53,90,37,7,17,6,4,9,60,86,37,9
250251203011,30,30,25,21,158,187,117,19,34,24,33,17,160,150,129,32
250251203012,45,31,32,20,92,106,56,12,30,22,25,20,124,141,77,22
250251203013,50,30,29,14,165,257,164,49,54,39,29,19,170,252,178,44
250251203014,21,23,19,11,140,238,110,11,23,21,29,12,179,249,117,28
250251204001,28,10,12,5,74,177,84,17,19,10,13,4,124,165,100,14
250251204002,20,9,4,7,48,128,80,7,22,10,9,6,72,149,86,19
250251204003,29,11,15,5,70,185,89,16,27,14,6,2,96,199,108,23
250251204004,40,29,13,27,182,341,185,31,52,25,31,19,263,345,231,48
250251204005,34,13,15,14,134,190,161,92,27,19,15,3,186,202,199,158
250251205001,29,22,18,15,86,122,73,28,22,16,18,11,110,135,80,39
250251205002,20,11,19,9,108,133,39,7,25,13,16,13,145,113,51,11
250251205003,16,13,10,15,115,112,65,14,27,23,24,16,110,121,76,17
250251206001,20,9,19,8,115,140,70,8,21,10,15,7,179,156,66,22
250251206002,25,6,3,1,88,140,45,5,27,5,3,0,125,184,53,14
250251206003,21,14,7,9,90,134,60,9,22,8,7,1,110,164,74,16
250251207001,25,9,7,11,175,173,72,13,24,12,12,12,174,168,57,18
250251207002,28,8,8,6,94,184,108,58,28,6,5,6,125,168,132,88
250251301001,36,28,18,14,52,147,126,52,40,30,31,13,54,159,158,73
250251301002,81,29,24,12,150,291,153,47,63,24,18,5,176,330,214,58
250251301003,15,11,13,5,25,66,75,26,14,12,11,5,30,85,84,43
250251301004,29,16,31,9,41,114,107,36,28,27,13,9,36,113,139,62
250251301005,24,21,17,6,35,95,68,30,23,24,6,6,24,104,101,71
250251301006,8,8,8,2,11,51,44,35,13,8,8,3,17,47,50,60
250251301007,26,20,21,17,53,125,104,38,26,28,19,11,55,130,127,42
250251302001,25,19,16,9,32,75,63,30,14,12,21,10,30,81,96,57
250251302002,33,14,16,9,63,148,96,55,29,15,21,12,54,126,113,76
250251302003,43,37,34,28,84,172,199,58,45,39,30,22,81,199,234,93
250251302004,24,13,12,14,37,87,115,17,22,10,14,21,46,92,134,46
250251302005,27,32,37,12,48,138,105,47,31,22,17,23,63,150,125,57
250251303001,28,33,31,12,33,114,105,48,29,37,16,13,31,125,128,65
250251303002,32,33,36,25,59,152,156,36,21,34,36,27,67,171,171,69
250251303003,31,36,27,18,27,90,110,34,33,20,30,16,40,119,113,57
250251303004,26,29,28,19,57,144,107,43,34,26,22,14,56,171,122,85
250251303005,21,14,20,14,45,96,89,21,20,12,20,9,36,93,112,40
250251304021,19,20,24,14,66,160,116,74,28,26,21,15,56,167,167,107
250251304022,25,21,14,8,38,144,104,36,23,17,15,10,63,115,83,65
250251304023,40,28,26,19,64,150,113,57,37,19,29,19,61,166,135,95
250251304024,20,19,30,17,52,133,111,59,23,19,26,16,49,131,121,77
250251304025,32,28,20,10,47,114,91,30,19,29,21,14,48,147,101,64
250251304041,44,31,44,29,105,192,220,123,45,32,34,33,131,233,262,334
250251304042,10,12,16,8,48,106,78,26,15,13,17,11,45,92,111,40
250251304043,17,12,6,10,17,57,40,13,14,13,7,3,29,58,45,20
250251304061,185,126,93,47,133,199,89,31,164,130,95,48,261,385,158,79
250251304062,109,80,63,32,128,291,236,115,92,88,61,34,175,367,259,181
250251304063,19,10,9,15,44,82,84,24,7,11,11,8,49,84,79,37
